vid	yid	start	end	raw-text	tokenized-text	gloss	split
TsIKJ9_HM-00:03:43.000-00:03:46.000	TsIKJ9_HM	00:03:43.000	00:03:46.000	PARTIAL SUCCESS,	partial success		train
TsIKJ9_HM-00:03:46.000-00:03:49.000	TsIKJ9_HM	00:03:46.000	00:03:49.000	NEEDS MORE WORK NEXT YEAR	needs more work next year		train
TsIKJ9_HM-00:03:49.000-00:03:52.000	TsIKJ9_HM	00:03:49.000	00:03:52.000	The Education Finance Bill passed	the education finance bill passed		train
TsIKJ9_HM-00:03:52.000-00:03:55.000	TsIKJ9_HM	00:03:52.000	00:03:55.000	during the special session	during the special session		train
TsIKJ9_HM-00:03:55.000-00:03:58.000	TsIKJ9_HM	00:03:55.000	00:03:58.000	only partially fixes the problem	only partially fixes the problem		train
TsIKJ9_HM-00:03:58.000-00:04:01.000	TsIKJ9_HM	00:03:58.000	00:04:01.000	that the Metro Deaf School has	that the metro deaf school has		valid
TsIKJ9_HM-00:04:01.000-00:04:03.000	TsIKJ9_HM	00:04:01.000	00:04:03.000	in enrolling students	in enrolling students		test
TsIKJ9_HM-00:04:03.000-00:04:05.000	TsIKJ9_HM	00:04:03.000	00:04:05.000	in their Pre-K program.	in their prek program		train
TsIKJ9_HM-00:04:05.000-00:04:06.800	TsIKJ9_HM	00:04:05.000	00:04:06.800	The bill will allow parents	the bill will allow parents		train
TsIKJ9_HM-00:04:05.000-00:04:08.000	TsIKJ9_HM	00:04:05.000	00:04:08.000	to choose the Metro Deaf School,	to choose the metro deaf school		train
TsIKJ9_HM-00:04:08.000-00:04:11.000	TsIKJ9_HM	00:04:08.000	00:04:11.000	but prohibits the school	but prohibits the school		valid
TsIKJ9_HM-00:04:11.000-00:04:14.000	TsIKJ9_HM	00:04:11.000	00:04:14.000	from receiving state or school district funding	from receiving state or school district funding		train
TsIKJ9_HM-00:04:14.000-00:04:17.000	TsIKJ9_HM	00:04:14.000	00:04:17.000	to pay for these services.	to pay for these services		train
TsIKJ9_HM-00:04:17.000-00:04:20.000	TsIKJ9_HM	00:04:17.000	00:04:20.000	Thanks to the legislators	thanks to the legislators		train
TsIKJ9_HM-00:04:20.000-00:04:23.000	TsIKJ9_HM	00:04:20.000	00:04:23.000	who tried to make this happen,	who tried to make this happen		train
TsIKJ9_HM-00:04:23.000-00:04:27.000	TsIKJ9_HM	00:04:23.000	00:04:27.000	Representative Sondra Erickson	representative sondra erickson		valid
TsIKJ9_HM-00:04:27.000-00:04:31.000	TsIKJ9_HM	00:04:27.000	00:04:31.000	and Senator Chuck Wiger.	and senator chuck wiger		train
TsIKJ9_HM-00:04:35.300-00:04:38.000	TsIKJ9_HM	00:04:35.300	00:04:38.000	WhatÕs next?	whatõs next		test
TsIKJ9_HM-00:04:38.000-00:04:42.000	TsIKJ9_HM	00:04:38.000	00:04:42.000	The Commission will come back to the legislature	the commission will come back to the legislature		train
TsIKJ9_HM-00:04:42.000-00:04:46.000	TsIKJ9_HM	00:04:42.000	00:04:46.000	next year to fix this language	next year to fix this language		train
TsIKJ9_HM-00:04:46.000-00:04:49.000	TsIKJ9_HM	00:04:46.000	00:04:49.000	and ensure that Metro Deaf School	and ensure that metro deaf school		train
TsIKJ9_HM-00:04:49.000-00:04:52.000	TsIKJ9_HM	00:04:49.000	00:04:52.000	receives funding for these pupils.	receives funding for these pupils		train
TsIKJ9_HM-00:04:52.000-00:04:56.000	TsIKJ9_HM	00:04:52.000	00:04:56.000	Also, look for news coverage about this issue.	also look for news coverage about this issue		train
TsIKJ9_HM-00:04:56.000-00:05:00.000	TsIKJ9_HM	00:04:56.000	00:05:00.000	KARE-11 TV already ran a story	kare11 tv already ran a story		train
TsIKJ9_HM-00:05:00.000-00:05:05.000	TsIKJ9_HM	00:05:00.000	00:05:05.000	and we understand that the Star Tribune	and we understand that the star tribune		train
TsIKJ9_HM-00:05:05.000-00:05:09.000	TsIKJ9_HM	00:05:05.000	00:05:09.000	is working on one as well.	is working on one as well		test
TsIKJ9_HM-00:05:14.000-00:05:18.000	TsIKJ9_HM	00:05:14.000	00:05:18.000	Hearing Loops and Acoustical Standards:	hearing loops and acoustical standards		train
TsIKJ9_HM-00:05:18.000-00:05:21.000	TsIKJ9_HM	00:05:18.000	00:05:21.000	COME BACK NEXT YEAR	come back next year		train
TsIKJ9_HM-00:05:21.000-00:05:24.000	TsIKJ9_HM	00:05:21.000	00:05:24.000	The Construction bill	the construction bill		train
TsIKJ9_HM-00:05:24.000-00:05:27.000	TsIKJ9_HM	00:05:24.000	00:05:27.000	(also known as a Òbonding billÓ)	also known as a òbonding billó		train
TsIKJ9_HM-00:05:27.000-00:05:30.000	TsIKJ9_HM	00:05:27.000	00:05:30.000	that was passed during the special session	that was passed during the special session		valid
TsIKJ9_HM-00:05:30.000-00:05:33.000	TsIKJ9_HM	00:05:30.000	00:05:33.000	did not include the requirements	did not include the requirements		train
TsIKJ9_HM-00:05:33.000-00:05:36.000	TsIKJ9_HM	00:05:33.000	00:05:36.000	for hearing loops and acoustical standards	for hearing loops and acoustical standards		train
TsIKJ9_HM-00:05:36.000-00:05:41.000	TsIKJ9_HM	00:05:36.000	00:05:41.000	in state-funded construction projects.	in statefunded construction projects		train
TsIKJ9_HM-00:05:41.000-00:05:45.000	TsIKJ9_HM	00:05:41.000	00:05:45.000	However, we built a lot of support	however we built a lot of support		train
TsIKJ9_HM-00:05:45.000-00:05:49.000	TsIKJ9_HM	00:05:45.000	00:05:49.000	for the proposal this year	for the proposal this year		train
TsIKJ9_HM-00:05:49.000-00:05:54.000	TsIKJ9_HM	00:05:49.000	00:05:54.000	and are committed to passing it next year.	and are committed to passing it next year		train
TsIKJ9_HM-00:05:54.000-00:05:57.000	TsIKJ9_HM	00:05:54.000	00:05:57.000	Thanks to the bill authors,	thanks to the bill authors		train
TsIKJ9_HM-00:05:57.000-00:06:00.000	TsIKJ9_HM	00:05:57.000	00:06:00.000	Representative Tama Theis	representative tama theis		train
TsIKJ9_HM-00:06:00.000-00:06:03.000	TsIKJ9_HM	00:06:00.000	00:06:03.000	and Senator Ann Rest.	and senator ann rest		train
TsIKJ9_HM-00:06:03.000-00:06:05.000	TsIKJ9_HM	00:06:03.000	00:06:05.000	Also thanks to the chair	also thanks to the chair		train
TsIKJ9_HM-00:06:05.000-00:06:08.000	TsIKJ9_HM	00:06:05.000	00:06:08.000	of the Senate Capitol Investment Committee	of the senate capitol investment committee		train
TsIKJ9_HM-00:06:08.000-00:06:12.000	TsIKJ9_HM	00:06:08.000	00:06:12.000	who tried to get this included in the bill:	who tried to get this included in the bill		train
TsIKJ9_HM-00:06:12.000-00:06:16.000	TsIKJ9_HM	00:06:12.000	00:06:16.000	Senator Leroy Stumpf.	senator leroy stumpf		train
TsIKJ9_HM-00:06:20.200-00:06:23.000	TsIKJ9_HM	00:06:20.200	00:06:23.000	WhatÕs next?	whatõs next		train
TsIKJ9_HM-00:06:23.000-00:06:27.000	TsIKJ9_HM	00:06:23.000	00:06:27.000	Legislators want to see a cost estimate	legislators want to see a cost estimate		train
TsIKJ9_HM-00:06:27.000-00:06:31.000	TsIKJ9_HM	00:06:27.000	00:06:31.000	before approving these new requirements.	before approving these new requirements		train
TsIKJ9_HM-00:06:31.000-00:06:35.000	TsIKJ9_HM	00:06:31.000	00:06:35.000	The Commission will help arrange	the commission will help arrange		test
TsIKJ9_HM-00:06:35.000-00:06:39.000	TsIKJ9_HM	00:06:35.000	00:06:39.000	for the cost estimates to be done	for the cost estimates to be done		train
TsIKJ9_HM-00:06:39.000-00:06:43.000	TsIKJ9_HM	00:06:39.000	00:06:43.000	so that this bill can be passed next year.	so that this bill can be passed next year		train
TsIKJ9_HM-00:06:47.200-00:06:52.000	TsIKJ9_HM	00:06:47.200	00:06:52.000	Central Accommodation Fund: PASSED	central accommodation fund passed		test
TsIKJ9_HM-00:06:52.000-00:06:55.000	TsIKJ9_HM	00:06:52.000	00:06:55.000	The State Government Finance bill	the state government finance bill		test
TsIKJ9_HM-00:06:55.000-00:06:59.000	TsIKJ9_HM	00:06:55.000	00:06:59.000	creates a central accommodation fund	creates a central accommodation fund		train
TsIKJ9_HM-00:06:59.000-00:07:02.000	TsIKJ9_HM	00:06:59.000	00:07:02.000	for state employees	for state employees		train
TsIKJ9_HM-00:07:02.000-00:07:06.000	TsIKJ9_HM	00:07:02.000	00:07:06.000	and puts $200,000 per year into it.	and puts 200000 per year into it		train
TsIKJ9_HM-00:07:06.000-00:07:09.000	TsIKJ9_HM	00:07:06.000	00:07:09.000	This funding will continue	this funding will continue		train
TsIKJ9_HM-00:07:09.000-00:07:12.000	TsIKJ9_HM	00:07:09.000	00:07:12.000	in future years as well.	in future years as well		train
TsIKJ9_HM-00:07:12.000-00:07:14.000	TsIKJ9_HM	00:07:12.000	00:07:14.000	Thanks to the bill authors,	thanks to the bill authors		train
TsIKJ9_HM-00:07:14.000-00:07:17.000	TsIKJ9_HM	00:07:14.000	00:07:17.000	Representative Dean Urdahl	representative dean urdahl		train
TsIKJ9_HM-00:07:17.000-00:07:20.000	TsIKJ9_HM	00:07:17.000	00:07:20.000	and Senator Jim Metzen,	and senator jim metzen		train
TsIKJ9_HM-00:07:20.000-00:07:23.000	TsIKJ9_HM	00:07:20.000	00:07:23.000	and to the Conference Committee Chairs,	and to the conference committee chairs		train
TsIKJ9_HM-00:07:23.000-00:07:26.000	TsIKJ9_HM	00:07:23.000	00:07:26.000	Representative Sarah Anderson	representative sarah anderson		train
TsIKJ9_HM-00:07:26.000-00:07:30.000	TsIKJ9_HM	00:07:26.000	00:07:30.000	and Senator Tom Saxhaug.	and senator tom saxhaug		train
TsIKJ9_HM-00:07:30.000-00:07:33.000	TsIKJ9_HM	00:07:30.000	00:07:33.000	Special thanks to two Representatives	special thanks to two representatives		train
TsIKJ9_HM-00:07:33.000-00:07:36.000	TsIKJ9_HM	00:07:33.000	00:07:36.000	who fought for this,	who fought for this		train
TsIKJ9_HM-00:07:36.000-00:07:39.000	TsIKJ9_HM	00:07:36.000	00:07:39.000	Representatives Cindy Pugh	representatives cindy pugh		train
TsIKJ9_HM-00:07:39.000-00:07:42.000	TsIKJ9_HM	00:07:39.000	00:07:42.000	and Carolyn Laine.	and carolyn laine		train
TsIKJ9_HM-00:07:47.000-00:07:49.000	TsIKJ9_HM	00:07:47.000	00:07:49.000	WhatÕs next?	whatõs next		train
TsIKJ9_HM-00:07:49.000-00:07:53.000	TsIKJ9_HM	00:07:49.000	00:07:53.000	The Commission will work with other state agencies	the commission will work with other state agencies		train
TsIKJ9_HM-00:07:53.000-00:07:56.000	TsIKJ9_HM	00:07:53.000	00:07:56.000	to ensure that they know	to ensure that they know		train
TsIKJ9_HM-00:07:56.000-00:08:00.000	TsIKJ9_HM	00:07:56.000	00:08:00.000	that they can use the Central Accommodation Fund	that they can use the central accommodation fund		test
TsIKJ9_HM-00:08:00.000-00:08:03.000	TsIKJ9_HM	00:08:00.000	00:08:03.000	to hire more deaf, deafblind	to hire more deaf deafblind		train
TsIKJ9_HM-00:08:03.000-00:08:06.000	TsIKJ9_HM	00:08:03.000	00:08:06.000	and hard of hearing state employees.	and hard of hearing state employees		train
TsIKJ9_HM-00:08:11.000-00:08:16.000	TsIKJ9_HM	00:08:11.000	00:08:16.000	Increased Funding for DHHS: PASSED	increased funding for dhhs passed		train
TsIKJ9_HM-00:08:16.000-00:08:19.000	TsIKJ9_HM	00:08:16.000	00:08:19.000	The Health and Human Services Finance bill	the health and human services finance bill		train
TsIKJ9_HM-00:08:19.000-00:08:22.000	TsIKJ9_HM	00:08:19.000	00:08:22.000	provides the DHHSD	provides the dhhsd		test
TsIKJ9_HM-00:08:22.000-00:08:26.000	TsIKJ9_HM	00:08:22.000	00:08:26.000	with an additional $1 million per year	with an additional 1 million per year		valid
TsIKJ9_HM-00:08:26.000-00:08:29.000	TsIKJ9_HM	00:08:26.000	00:08:29.000	for the next two years.	for the next two years		train
TsIKJ9_HM-00:08:29.000-00:08:31.000	TsIKJ9_HM	00:08:29.000	00:08:31.000	It will be used	it will be used		train
TsIKJ9_HM-00:08:31.000-00:08:34.000	TsIKJ9_HM	00:08:31.000	00:08:34.000	for deafblind support services,	for deafblind support services		train
TsIKJ9_HM-00:08:34.000-00:08:38.000	TsIKJ9_HM	00:08:34.000	00:08:38.000	mental health services in ASL,	mental health services in asl		train
TsIKJ9_HM-00:08:38.000-00:08:42.000	TsIKJ9_HM	00:08:38.000	00:08:42.000	and updates for the equipment labs.	and updates for the equipment labs		train
TsIKJ9_HM-00:08:42.000-00:08:45.000	TsIKJ9_HM	00:08:42.000	00:08:45.000	There will also be a study of how	there will also be a study of how		train
TsIKJ9_HM-00:08:45.000-00:08:47.000	TsIKJ9_HM	00:08:45.000	00:08:47.000	to best provide services	to best provide services		train
TsIKJ9_HM-00:08:47.000-00:08:49.000	TsIKJ9_HM	00:08:47.000	00:08:49.000	throughout the state.	throughout the state		valid
TsIKJ9_HM-00:08:49.000-00:08:52.000	TsIKJ9_HM	00:08:49.000	00:08:52.000	Thanks to the bill authors,	thanks to the bill authors		train
TsIKJ9_HM-00:08:52.000-00:08:55.000	TsIKJ9_HM	00:08:52.000	00:08:55.000	Representative Nels Pierson	representative nels pierson		train
TsIKJ9_HM-00:08:55.000-00:08:59.000	TsIKJ9_HM	00:08:55.000	00:08:59.000	and Senator Foung Hawj,	and senator foung hawj		train
TsIKJ9_HM-00:08:59.000-00:09:03.000	TsIKJ9_HM	00:08:59.000	00:09:03.000	and to the Conference Committee Chairs,	and to the conference committee chairs		train
TsIKJ9_HM-00:09:03.000-00:09:06.000	TsIKJ9_HM	00:09:03.000	00:09:06.000	Representative Matt Dean	representative matt dean		train
TsIKJ9_HM-00:09:06.000-00:09:09.000	TsIKJ9_HM	00:09:06.000	00:09:09.000	and Senator Tony Lourey.	and senator tony lourey		train
TsIKJ9_HM-00:09:14.000-00:09:16.000	TsIKJ9_HM	00:09:14.000	00:09:16.000	WhatÕs next?	whatõs next		train
TsIKJ9_HM-00:09:16.000-00:09:19.000	TsIKJ9_HM	00:09:16.000	00:09:19.000	The Commission will work with DHHS	the commission will work with dhhs		train
TsIKJ9_HM-00:09:19.000-00:09:22.000	TsIKJ9_HM	00:09:19.000	00:09:22.000	on a study of how it can best provide services	on a study of how it can best provide services		train
TsIKJ9_HM-00:09:22.000-00:09:25.000	TsIKJ9_HM	00:09:22.000	00:09:25.000	to deaf, deafblind and hard of hearing	to deaf deafblind and hard of hearing		train
TsIKJ9_HM-00:09:25.000-00:09:27.500	TsIKJ9_HM	00:09:25.000	00:09:27.500	Minnesotans across the state.	minnesotans across the state		train
TsIKJ9_HM-00:09:32.000-00:09:38.000	TsIKJ9_HM	00:09:32.000	00:09:38.000	Text-to-911: PASSED	textto911 passed		train
TsIKJ9_HM-00:09:38.000-00:09:42.000	TsIKJ9_HM	00:09:38.000	00:09:42.000	The Public Safety Finance bill	the public safety finance bill		train
TsIKJ9_HM-00:09:42.000-00:09:46.000	TsIKJ9_HM	00:09:42.000	00:09:46.000	includes the funding needed for citizens	includes the funding needed for citizens		train
TsIKJ9_HM-00:09:46.000-00:09:50.000	TsIKJ9_HM	00:09:46.000	00:09:50.000	to be able to eventually text 911	to be able to eventually text 911		train
TsIKJ9_HM-00:09:50.000-00:09:53.000	TsIKJ9_HM	00:09:50.000	00:09:53.000	in an emergency.	in an emergency		train
